Fiscal Year,Company Name,Company Address,Municipality,County 1,State,Zip Code,Business Industry,NAICS Code,Minority/ Woman/ Veteran/ International Export,Contract Execution Date,Grant Amount,Loan Amount,Total Assistance ,Total Project Cost,Amount Leveraged,Funding Source,Statutory Reference,Per Contract: Full-Time CT Jobs to be Retained,Per Contract: Full-Time CT Jobs to be Created,Per Contract: Part-Time CT Jobs to be Retained,Per Contract: Part-Time CT Jobs to be Created,Actual Jobs at Time of Review,Job Obligation Status,Penalty (if applicable),Forgiveness Earned (if applicable),Per Application: Existing Full-Time Jobs in CT,Per Application: Full-Time Jobs to be Created in CT,Per Application: Existing Part-Time Jobs in CT,Per Application: Part Time Jobs to be Created in CT,Full-Time CT Employment at 6/30/20,Part-Time CT Employment at 6/30/20,Status,Location 1,Count,Geocoded Location,Planning Regions,Counties,Zip Code 2,Town Index
2013,"Owlstone, Inc.",751 Main Avenue,Norwalk,Fairfield,CT,06851,"Instruments and Related Product Manufacturing for Measuring, Displaying and Controlling Industrial Process Variables",334513,No,10/11/2012,100000.00,250000.00,350000.00,1462000.00,1112000.00,Small Business Express Program,CGS Sec. 32-7g,6,3,0,0,6,Not Met,Rate increase from 2% to 3%,n/a,6,3,0,0,,,Active,751 Main Avenue,1,"751 Main Avenue
Norwalk, CT 06851
(41.158274, -73.420663)",9,1040,87,103
2013,"Test Logic, Inc.",17 Kenneth Dooley Drive,Middletown,Middlesex,CT,06457,Other Transportation Goods,423860,No,04/03/2013,50000.00,0.00,50000.00,138000.00,88000.00,Small Business Express Program,CGS Sec. 32-7g,16,2,0,0,17,Not Met,"$1,000",n/a,16,2,0,0,,,Active,17 Kenneth Dooley Drive,1,"17 Kenneth Dooley Drive
Middletown, CT 06457
(41.589652, -72.726983)",3,1043,236,83
2017,"twenty2, LLC",21 Camp Dutton Road,Litchfield,Litchfield,CT,06759,Wallpaper Manufacturing,541400,Yes Woman,12/13/2016,15000.00,100000.00,115000.00,161200.00,46200.00,Small Business Express Program,CGS Sec. 32-7g,3,1,0,0,8,Met,n/a,n/a,3,1,0,0,,,Active,21 Camp Dutton Road,1,"21 Camp Dutton Road
Litchfield, CT 06759
(41.73076, -73.183287)",6,1042,264,74
2017,"Home Salon and Spa, LLC",1028 Poquonnock Road,Groton,New London,CT,06340,Salon & Day Spa,812112,Yes Woman/Minority,09/16/2016,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,8,5,0,0,17,Met,n/a,n/a,8,3,0,0,13,5,Active,1028 Poquonnock Road,1,"1028 Poquonnock Road
Groton, CT 06340
(41.346467, -72.046824)",8,1045,243,59
2015,"525 Tunxis Hill Cut-Off, LLC dba Chip's Family Restaurant",321 Boston Post Road,Orange,New Haven,CT,06477,Food Restaurant,722210,No,10/02/2014,95705.00,300000.00,395705.00,500000.00,104295.00,Small Business Express Program,CGS Sec. 32-7g,29,20,0,0,53,Met,n/a,n/a,25,25,0,0,,,Active,321 Boston Post Road,1,"321 Boston Post Road
Orange, CT 06477
(41.264297, -73.004441)",7,1044,196,107
2014,"Krative, LLC","350 Center Street, Suite 208",Wallingford,New Haven,CT,06492,Marketing,541613,No,08/05/2013,25634.00,0.00,25634.00,95152.00,69518.00,Small Business Express Program,CGS Sec. 32-7g,3,2,0,0,4,Not Met,"$5,127",n/a,3,2,0,0,,,Compliance Complete,"350 Center Street, Suite 208",1,"350 Center Street, Suite 208
Wallingford, CT 06492
(41.453988, -72.817383)",7,1044,195,148
2018,"3 Fellas Pizza & Market, LLC",4 East Hampton Road,Marlborough,Hartford,CT,06447,Limited Service Restaurant,722513,No,09/01/2017,100000.00,300000.00,400000.00,800000.00,400000.00,Small Business Express Program,CGS Sec. 32-7g,2,5,0,0,Pending,Pending,n/a,n/a,2,7,6,2,,,Active,4 East Hampton Road,1,"4 East Hampton Road
Marlborough, CT 06447
(41.630966, -72.460113)",1,1041,222,79
2015,Jarden Corporation,301 Merritt 7 Corp. Park,Norwalk,Fairfield,CT,06850,Manufacturing,339999,No,01/05/2015,0.00,2000000.00,2000000.00,3028000.00,1028000.00,Manufacturing Assistance Act,CH 588l,60,60,,,66,Met,n/a,"1,500,000",0,60,0,0,,,Active,301 Merritt 7 Corp. Park,1,"301 Merritt 7 Corp. Park
Norwalk, CT 06850
(41.149878, -73.426309)",9,1040,87,103
2013,"ImageWorks, LLC","27 Hartford Turnpike, Suite 202",Vernon,Tolland,CT,06066,Web Development,541400,Yes,09/13/2012,45000.00,0.00,45000.00,90000.00,45000.00,Small Business Express Program,CGS Sec. 32-7g,6,2,0,0,9,Met,n/a,n/a,6,2,0,0,,,Compliance Complete,"27 Hartford Turnpike, Suite 202",1,"27 Hartford Turnpike, Suite 202
Vernon, CT 06066
(41.816264, -72.504908)",1,38,248,146
2015,"Niantic Acupuncture & Family Wellness, LLC",3 Spring Street,East Lyme,New London,CT,06357,Healthcare/Acupuncture,621399,Yes Woman,05/26/2015,20000.00,0.00,20000.00,40188.00,20188.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,1,Met,n/a,n/a,0,1,0,0,,,Compliance Complete,3 Spring Street,1,"3 Spring Street
East Lyme, CT 06357
(41.335482, -72.185032)",8,1045,31,45
2017,"Natures Grocer Vernon, LLC",81 East Street,Vernon,Tolland,CT,06066,"Health Food, Retail Bakery Gluten Free",445299,No,05/26/2017,0.00,300000.00,300000.00,300000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,8,9,0,0,Pending,Pending,n/a,n/a,8,10,16,17,,,Compliance Complete,81 East Street,1,"81 East Street
Vernon, CT 06066
(41.860006, -72.431854)",1,38,248,146
2016,"Express Wireless, Inc. dba Express",175 West Road,Ellington,Tolland,CT,06029,Wireless Retailer,811211,Yes Woman,07/31/2015,100000.00,259891.00,359891.00,586491.00,226600.00,Small Business Express Program,CGS Sec. 32-7g,17,5,0,0,Pending,Pending,n/a,n/a,20,3,0,0,,,Active,175 West Road,1,"175 West Road
Ellington, CT 06029
(41.894668, -72.461161)",1,38,142,48
2018,"Grace Machine Company, LLC",46 Woodlawn Road,Berlin,Hartford,CT,06037,Machining,332700,Yes Woman,06/19/2018,60000.00,,60000.00,152900.00,92900.00,Small Business Express Program,CGS Sec. 32-7g,10,3,0,0,Pending,Pending,n/a,n/a,10,3,6,0,,,Active,46 Woodlawn Road,1,"46 Woodlawn Road
Berlin, CT 06037
(41.632485, -72.739286)",1,1041,253,7
2015,"Wolf, Diaz and Cohen, Inc. dba Republic Restaurant",39 Jerome Avenue,Bloomfield,Hartford,CT,06002,Restaurant,722511,Yes Minority,06/08/2015,100000.00,150000.00,250000.00,875000.00,625000.00,Small Business Express Program,CGS Sec. 32-7g,17,15,0,0,Pending,Pending,OOB,OOB,30,30,0,0,,,Out of Business- written off,39 Jerome Avenue,1,"39 Jerome Avenue
Bloomfield, CT 06002
(41.828806, -72.735273)",1,1041,224,11
2016,"Lighthouse Bakery, LLC",200 Capstan Avenue,Mystic,New London,CT,06355,Yes Woman/Minority,311811,Yes Woman/Minority,05/11/2016,0.00,139000.00,139000.00,139000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,Pending,Pending,n/a,n/a,2,2,0,0,,,Compliance Complete,200 Capstan Avenue,1,"200 Capstan Avenue
Mystic, CT 06355
(41.348242, -71.985248)",8,1045,135,59
2014,"385 Central Glass & Mirror, Inc. dba New England Glass & Mirror Co.",31 Connecticut Avenue,Norwich,New London,CT,06360,Glass & Glazing Contractor,238150,No,02/06/2014,0.00,100000.00,100000.00,103000.00,3000.00,Small Business Express Program,CGS Sec. 32-7g,20,0,0,0,20,Met,n/a,n/a,20,0,0,0,18,3,Active,31 Connecticut Avenue,1,"31 Connecticut Avenue
Norwich, CT 06360
(41.561939, -72.112914)",8,1045,14,104
2015,"York Analytical Laboratories, Inc.",120 Research Drive,Stratford,Fairfield,CT,06615,Environmental,541380,No,07/28/2014,0.00,100000.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,39,0,0,0,47,Met,n/a,n/a,39,0,0,0,,,Active,120 Research Drive,1,"120 Research Drive
Stratford, CT 06615
(41.17367, -73.153547)",2,1040,178,138
2013,"Shoreline Shellfish, LLC",47 Griffing Pond Road,Branford,New Haven,CT,06405,Research & Developmental Labortories,541712,No,07/23/2012,45000.00,0.00,45000.00,90000.00,45000.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,Pending,Pending,n/a,n/a,0,2,0,0,,,Active,47 Griffing Pond Road,1,"47 Griffing Pond Road
Branford, CT 06405
(41.280793, -72.77644)",7,1044,170,14
2014,"Systamedic, Inc.",1084 Shennecossett Road,Groton,New London,CT,06340,Bioscience/Pharmaceuticals,541711,No,04/21/2014,40000.00,0.00,40000.00,80000.00,40000.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,0,Not Met,"$400,004",n/a,2,2,0,0,,,Active,1084 Shennecossett Road,1,"1084 Shennecossett Road
Groton, CT 06340
(41.319936, -72.064545)",8,1045,243,59
2012,"Connecticut Valley Bindery, Inc",1 Hartford Square,New Britain,Hartford,CT,06052,Office Supplies & Stationery Stores,453210,No,06/12/2012,50000.00,0.00,50000.00,100000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,27,1,0,0,29,Met,n/a,n/a,27,1,0,0,,,Active,1 Hartford Square,1,"1 Hartford Square
New Britain, CT 06052
(41.664847, -72.81185)",1,1041,112,89
2016,"Northeast Laser Engraving, Inc. n/k/a Biomerics NLE",246C Main Street,Monroe,Fairfield,CT,06468,Manufacturing,332110,No,07/22/2015,0.00,700000.00,700000.00,1850000.00,1150000.00,Manufacturing Assistance Act,CH 588l,85,20,,,109,Met,n/a,"200,000",85,20,5,0,,,Active,246C Main Street,1,"246C Main Street
Monroe, CT 06468
(41.310035, -73.257681)",2,1040,3,85
2016,"Teed & Company, Inc.",27 Ann Street,Norwalk,Fairfield,CT,06854,Healthcare Recruitment/Staffing,561311,No,01/15/2016,0.00,300000.00,300000.00,391000.00,91000.00,Small Business Express Program,CGS Sec. 32-7g,12,7,0,0,13,Not Met,2% to 3%,n/a,12,10,0,0,,,Active,27 Ann Street,1,"27 Ann Street
Norwalk, CT 06854
(41.101691, -73.418197)",9,1040,155,103
2016,"Oak & Velvet, LLC",180 Johnson Street,Middletown,Middlesex,CT,06457,Manufacturing,337121,No,08/17/2015,100000.00,233260.00,333260.00,445410.00,112150.00,Small Business Express Program,CGS Sec. 32-7g,0,5,0,0,Pending,Pending,n/a,n/a,1,5,0,0,,,Active,180 Johnson Street,1,"180 Johnson Street
Middletown, CT 06457
(41.572748, -72.659982)",3,1043,236,83
2012,"Marlborough Plastics, Inc.",350 North Main Street,Marlborough,Hartford,CT,06447,Manufacturing,326291,No,01/18/2012,0.00,320000.00,320000.00,534376.00,214376.00,Manufacturing Assistance Act/Small Business Revolving Loan Fund,PA 10-75,n/a,n/a,,,n/a,n/a,n/a,n/a,6,4,0,2,,,Active,350 North Main Street,1,"350 North Main Street
Marlborough, CT 06447
(41.646584, -72.480578)",1,1041,222,79
2014,"Excel Technologies, Inc.","99 Phoenix Avenue, P.O. Box 1258",Enfield,Hartford,CT,06082,"Aerospace, medical device and fuel cell industry",333314,No,02/26/2014,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,7,5,0,0,11,Not Met,"$5,263",n/a,14,5,0,0,,,Active,"99 Phoenix Avenue, P.O. Box 1258",1,"99 Phoenix Avenue, P.O. Box 1258
Enfield, CT 06082
(41.976805, -72.581281)",1,1041,108,49
2017,"Innovative Autism Services, LLC",56 West Main Street,Plainville,Hartford,CT,06062,Autism Behavior Health,621399,Yes Woman/Minority,06/07/2017,0.00,300000.00,300000.00,300000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,11,5,0,0,Pending,Pending,n/a,n/a,11,7,8,10,,,Active,56 West Main Street,1,"56 West Main Street
Plainville, CT 06062
(41.670815, -72.869199)",1,1041,260,110
2018,"National Grinding Services, LLC",280 Redstone Hill Road,Bristol,Hartford,CT,06010,Manufacturing,339900,Yes Veteran,05/03/2018,20000.00,100000.00,120000.00,140000.00,20000.00,Small Business Express Program,CGS Sec. 32-7g,9,2,0,0,Pending,Pending,n/a,,9,2,2,0,,,Compliance Complete,280 Redstone Hill Road,1,"280 Redstone Hill Road
Bristol, CT 06010
(41.657977, -72.904223)",4,1041,219,17
2013,"Griffin Brothers Excavation, LLC",18 Stanley Drive,Seymour,New Haven,CT,06483,Site Preparation Contractors,238910,No,08/30/2012,0.00,50000.00,50000.00,51000.00,1000.00,Small Business Express Program,CGS Sec. 32-7g,2,0,0,0,4,Met,n/a,n/a,2,0,0,0,,,Active,18 Stanley Drive,1,"18 Stanley Drive
Seymour, CT 06483
(41.387831, -73.110454)",4,1044,239,124
2020,Specialty Cable Corporation,2 Tower Drive,Wallingford,New Haven,CT,06492,Aerospace,335929,Yes Woman,12/10/2019,0.00,300000.00,300000.00,303000.00,3000.00,Small Business Express Program,CGS Sec. 32-7g,56,4,0,0,Pending,Pending,n/a,n/a,56,0,7,0,,,,2 Tower Drive,1,"2 Tower Drive
Wallingford, CT 06492
(41.491414, -72.792613)",7,1044,195,148
2019,"El Pollo Guapo Wethersfield, LLC",1866 Berlin Turnpike,Wethersfield,Hartford,CT,06109,Food Service,722513,Yes Woman,11/15/2018,60000.00,30000.00,90000.00,150000.00,60000.00,Small Business Express Program,CGS Sec. 32-7g,10,12,0,0,Pending,Pending,n/a,n/a,10,10,4,6,,,,1866 Berlin Turnpike,1,"1866 Berlin Turnpike
Wethersfield, CT 06109
(41.703384, -72.702728)",1,1041,261,159
2016,"Citra-Solv, LLC",188 Shadow Lake Road,Ridgefield,Fairfield,CT,06877,Chemical,325612,Yes Woman/International Export,11/05/2015,0.00,50000.00,50000.00,50000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,3,0,0,0,3,Met,n/a,n/a,6,0,0,0,3,0,Compliance Complete,188 Shadow Lake Road,1,"188 Shadow Lake Road
Ridgefield, CT 06877
(41.372292, -73.508949)",9,1040,43,118
2017,The Electric Heater Company dba Hubbell Electric Heater Company,45 Seymour Street,Stratford,Fairfield,CT,06614,Manufacturing,333249,No,08/02/2016,0.00,2000000.00,2000000.00,4500000.00,2500000.00,Manufacturing Assistance Act,CH 588l,61,35,,,114,Met,n/a,"750,000",61,35,0,0,,,Active,45 Seymour Street,1,"45 Seymour Street
Stratford, CT 06614
(41.185022, -73.152373)",2,1040,178,138
2014,Conard Corporation,101 Commerce Street,Glastonbury,Hartford,CT,06033,"Description Coating, Engraving and Allied Services",332812,No,02/28/2014,100000.00,187043.00,287043.00,387043.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,20,5,0,0,26,Met,n/a,n/a,20,5,0,0,,,Active,101 Commerce Street,1,"101 Commerce Street
Glastonbury, CT 06033
(41.709752, -72.588145)",1,1041,90,54
2015,"Parkerville Wood Products, Inc.",580 Parker Street,Manchester,Hartford,CT,06042,Manufacturer of Custom Architectural Millwork,337212,No,12/18/2014,98935.00,0.00,98935.00,197870.00,98935.00,Small Business Express Program,CGS Sec. 32-7g,11,6,0,0,Pending,Pending,n/a,n/a,11,3,0,0,19,0,Active,580 Parker Street,1,"580 Parker Street
Manchester, CT 06042
(41.797372, -72.50819)",1,1041,161,77
2017,"Henry, Raymond & Thompson, LLC",1340 Sullivan Avenue,South Windsor,Hartford,CT,06074,Accounting,541211,No,04/05/2017,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,6,5,0,0,Pending,Pending,n/a,n/a,6,3,0,0,,,Active,1340 Sullivan Avenue,1,"1340 Sullivan Avenue
South Windsor, CT 06074
(41.835578, -72.556594)",1,1041,89,132
2013,"Advance Stores Company, Incorporated",300 Shaker Road,Enfield,Hartford,CT,06082,Retail Trade,441310,No,10/03/2012,0.00,5000000.00,5000000.00,33000000.00,28000000.00,Manufacturing Assistance Act,CH 588l,0,107,,,329,Met,n/a,"5,000,000",0,0,0,0,,,Active,300 Shaker Road,1,"300 Shaker Road
Enfield, CT 06082
(42.015858, -72.508544)",1,1041,108,49
2014,"Al-TEK Instruments, LLC","152 Knotter Drive, P.O. Box 748",Cheshire,New Haven,CT,06410,Manufacturer,334500,No,08/16/2013,0.00,300000.00,300000.00,350000.00,50000.00,Small Business Express Program,CGS Sec. 32-7g,30,5,0,0,35,Met,n/a,"$   75,000",30,5,0,0,,,Active,"152 Knotter Drive, P.O. Box 748",1,"152 Knotter Drive, P.O. Box 748
Cheshire, CT 06410
(41.5547, -72.916865)",4,1044,63,25
2018,"Strong Kitchen, LLC",8312 Town Walk Drive,Hamden,New Haven,CT,06518,Food Service,722300,No,10/30/2017,16000.00,0.00,16000.00,32000.00,16000.00,Small Business Express Program,CGS Sec. 32-7g,2,1,0,0,Pending,Pending,n/a,n/a,1,1,2,20,,,Active,8312 Town Walk Drive,1,"8312 Town Walk Drive
Hamden, CT 06518
(41.392614, -72.910936)",7,1044,100,62
2015,"Creating Opportunities for Youth, LLC dba Little Learners Children Center",18 Oakwood Road,East Lyme,New London,CT,06357,Daycare,541990,Yes Woman,09/04/2014,50900.00,0.00,50900.00,101800.00,50900.00,Small Business Express Program,CGS Sec. 32-7g,8,6,0,0,19,Met,n/a,n/a,8,6,0,0,,,Compliance Complete,18 Oakwood Road,1,"18 Oakwood Road
East Lyme, CT 06357
(41.304042, -72.229179)",8,1045,31,45
2018,"Carbonella & DeSarbo, Inc.",50 East Industrial Road,Branford,New Haven,CT,06405,Wholesale Produce Distributor,514801,No,06/13/2018,50000.00,,50000.00,200000.00,150000.00,Small Business Express Program,CGS Sec. 32-7g,33,5,0,0,Pending,Pending,n/a,n/a,33,5,2,0,,,Compliance Complete,50 East Industrial Road,1,"50 East Industrial Road
Branford, CT 06405
(41.298205, -72.754747)",7,1044,170,14
2013,"Upscale Surfaces, LLC","64 Oakland Avenue, Unit F",East Hartford,Hartford,CT,06108,Finish Carpentry,238350,No,04/17/2013,0.00,98600.00,98600.00,98600.00,0.00,Small Business Express Program,CGS Sec. 32-7g,1,8,0,0,0,Not Met,Rate increase from 2% to 3%,n/a,1,7,0,0,,,Active,"64 Oakland Avenue, Unit F",1,"64 Oakland Avenue, Unit F
East Hartford, CT 06108
(41.782049, -72.631953)",1,1041,119,43
2015,"Zephyr Fluid Solutions, LLC",30 Pecks Lane,Newtown,Fairfield,CT,06470,Fabricated Metal Products,339900,No,06/08/2015,100000.00,300000.00,400000.00,509000.00,109000.00,Small Business Express Program,CGS Sec. 32-7g,0,4,0,0,4,Met,n/a,"$   20,000",0,4,0,0,,,Compliance Complete,30 Pecks Lane,1,"30 Pecks Lane
Newtown, CT 06470
(41.383289, -73.280249)",9,1040,153,97
2013,"Accelatis, LLC",126 Old Ridgefield Road,Wilton,Fairfield,CT,06897,Computer Systems Design Services,561990,No,07/26/2012,100000.00,250000.00,350000.00,505000.00,155000.00,Small Business Express Program,CGS Sec. 32-7g,4,4,0,0,6,Not Met,Loan repaid,n/a,4,4,0,0,,,Active,126 Old Ridgefield Road,1,"126 Old Ridgefield Road
Wilton, CT 06897
(41.192984, -73.431108)",9,1040,212,161
2016,"Excel Partners, Inc.",1177 Summer Street,Stamford,Fairfield,CT,06905,Staffing Services,561320,No,08/11/2015,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,15,5,0,0,"10,000",Not Met,"$   10,000",n/a,15,5,0,0,,,Active,1177 Summer Street,1,"1177 Summer Street
Stamford, CT 06905
(41.061291, -73.541343)",9,1040,84,135
2016,"Netology, LLC",1200 Summer Street,Stamford,Fairfield,CT,06905,IT Professional Services,541990,No,09/02/2015,50000.00,0.00,50000.00,270000.00,220000.00,Small Business Express Program,CGS Sec. 32-7g,12,3,0,0,17,Met,n/a,n/a,12,3,0,0,,,Compliance Complete,1200 Summer Street,1,"1200 Summer Street
Stamford, CT 06905
(41.061113, -73.541223)",9,1040,84,135
2013,"Trinity Episcopal Day School on Asylum Hill, Inc.",120 Sigourney Street,Hartford,Hartford,CT,06105,Education,611110,No,10/16/2012,100000.00,0.00,100000.00,450115.00,350115.00,Small Business Express Program,CGS Sec. 32-7g,1,2,0,0,3,Met,n/a,n/a,1,2,0,0,,,Active,120 Sigourney Street,1,"120 Sigourney Street
Hartford, CT 06105
(41.769034, -72.693844)",1,1041,10,64
2013,"Aqua Comfort Technologies, LLC",6 Coventry Court,Wallingford,New Haven,CT,06492,Manufacturing,236220,No,12/26/2012,100000.00,650000.00,750000.00,2303000.00,1553000.00,Manufacturing Assistance Act,CH 588l,2,60,,,Pending,Pending,n/a,n/a,18,0,60-80,0,,,Active,6 Coventry Court,1,"6 Coventry Court
Wallingford, CT 06492
(41.480605, -72.781748)",7,1044,195,148
2018,"Sardilli Produce & Dairy Co., Inc.",212 Locust Street,Hartford,Hartford,CT,06114,Manufacturing,424480,No,06/27/2018,0.00,5000000.00,5000000.00,25000000.00,20000000.00,Manufacturing Assistance Act Revolving Loan Fund,CH 588l,202,48,0,0,Pending,Pending,n/a,n/a,69,29,27,11,,,Active,212 Locust Street,1,"212 Locust Street
Hartford, CT 06114
(41.743542, -72.665355)",1,1041,8,64
2017,"Connecticut Center for Arts and Technology, Inc.",4 Science Park,New Haven,New Haven,CT,06511,Elementary and Secondary School,611110,Yes Minority,12/19/2016,100000.00,0.00,100000.00,345000.00,245000.00,Small Business Express Program,CGS Sec. 32-7g,11,7,0,0,Pending,Pending,n/a,n/a,11,7,4,0,,,Active,4 Science Park,1,"4 Science Park
New Haven, CT 06511
(41.32343, -72.926962)",7,1044,275,93
2013,"Spectrix Analytical Services, LLC","410 Sackett Point Road, Building 20",North Haven,New Haven,CT,06473,Manufacturing,541380,Yes,05/21/2013,100000.00,250000.00,350000.00,700000.00,350000.00,Manufacturing Assistance Act,CH 588l,19,4,,,24,Met,n/a,n/a,19,4,0,0,27,3,Active,"410 Sackett Point Road, Building 20",1,"410 Sackett Point Road, Building 20
North Haven, CT 06473
(41.367977, -72.880364)",7,1044,168,101
2015,"ESCO Advisors, LLC","100 Mill Plain Road, 1st Floor",Danbury,Fairfield,CT,06811,Energy Retail Supply Software,518210,No,09/26/2014,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,3,5,0,0,9,Met,n/a,n/a,3,8,0,0,,,Active,"100 Mill Plain Road, 1st Floor",1,"100 Mill Plain Road, 1st Floor
Danbury, CT 06811
(41.39447, -73.514057)",9,1040,60,34
2017,"Dri-Air Industries, Inc.","16 Thompson Road, P.O. Box 1020",East Windsor,Hartford,CT,06088,Plastics Industry,332999,Yes International Export,06/09/2017,100000.00,0.00,100000.00,450000.00,350000.00,Small Business Express Program,CGS Sec. 32-7g,24,5,0,0,Pending,Pending,n/a,n/a,24,5,1,0,,,Active,"16 Thompson Road, P.O. Box 1020",1,"16 Thompson Road, P.O. Box 1020
East Windsor, CT 06088
(41.913097, -72.60519)",1,1041,20,47
2014,"Pinnacle Maintenance, LLC",5 Pinnacle Road,Farmington,Hartford,CT,06032,Facilities and Real Estate Services,236118,No,04/29/2014,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,0,5,0,0,13,Met,n/a,n/a,8,8,0,0,,,Repaid early released 6/18/2018,5 Pinnacle Road,1,"5 Pinnacle Road
Farmington, CT 06032
(41.709863, -72.832078)",1,1041,254,52
2018,"JYS Technologies, Inc.","65 High Ridge Road, Suite 510",Stamford,Fairfield,CT,06905,IT Consulting,541519,No,12/19/2017,40000.00,0.00,40000.00,80000.00,40000.00,Small Business Express Program,CGS Sec. 32-7g,3,2,0,0,Pending,Pending,n/a,n/a,3,1,0,1,,,Active,"65 High Ridge Road, Suite 510",1,"65 High Ridge Road, Suite 510
Stamford, CT 06905
(41.074528, -73.548999)",9,1040,84,135
2012,Big Rake Enterprises Inc.,"24 McDermott Avenue, Suite 114",Torrington,Litchfield,CT,06790,Service,812320,No,06/05/2012,0.00,100000.00,100000.00,100000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,1,1,0,0,0,Not Met,OOB,OOB,1,1,0,0,,,Active,"24 McDermott Avenue, Suite 114",1,"24 McDermott Avenue, Suite 114
Torrington, CT 06790
(41.81246, -73.12408)",6,1042,122,143
2016,"Xuare, LLC",471 North Main Street,Norwich,New London,CT,06360,Industrial Automation/R & D,332710,Yes International Export,01/26/2016,40000.00,0.00,40000.00,87000.00,47000.00,Small Business Express Program,CGS Sec. 32-7g,1,3,0,0,Pending,Pending,n/a,n/a,1,3,0,0,,,Compliance Complete,471 North Main Street,1,"471 North Main Street
Norwich, CT 06360
(41.534632, -72.054793)",8,1045,14,104
2017,"Dioluce, LLC",185 Main Street,New Britain,Hartford,CT,06051,Energy,335122,Yes Minority,08/02/2016,0.00,250000.00,250000.00,250000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,0,4,0,0,Pending,Pending,n/a,n/a,0,4,0,0,,,Active,185 Main Street,1,"185 Main Street
New Britain, CT 06051
(41.666578, -72.781852)",1,1041,17,89
2014,"East Hampton Café, LLC dba TSS Print Shop",78 Plaza Court,Groton,New London,CT,06340,Machine Shop,332700,No,08/16/2013,53000.00,100000.00,153000.00,257000.00,104000.00,Small Business Express Program,CGS Sec. 32-7g,2,5,0,0,6,Not Met,"from 2% to 3% and $1,000",n/a,2,5,0,0,,,Active,78 Plaza Court,1,"78 Plaza Court
Groton, CT 06340
(41.348989, -72.05183)",8,1045,243,59
2012,Jiwan Corporation,125 Weston Street,Hartford,Hartford,CT,06120,Service,561990,No,05/21/2012,100000.00,0.00,100000.00,329000.00,229000.00,Small Business Express Program,CGS Sec. 32-7g,2,2,0,0,3,Not Met,"$1,000",n/a,4,4,0,0,,,Active,125 Weston Street,1,"125 Weston Street
Hartford, CT 06120
(41.789508, -72.661855)",1,1041,79,64
2017,Nina's Café dba Nina's,39 West Main Street,Meriden,New Haven,CT,06451,Restaurant,722513,Yes Minority/Veteran,03/07/2017,30000.00,0.00,30000.00,60000.00,30000.00,Small Business Express Program,CGS Sec. 32-7g,0,2,0,0,Pending,Pending,n/a,n/a,0,2,0,0,,,Active,39 West Main Street,1,"39 West Main Street
Meriden, CT 06451
(41.53822, -72.804014)",7,1044,226,80
2013,"Architectural Glass Industries, LLC",9 Turnberry Lane,Sandy Hook,Fairfield,CT,06482,Glass Manufacturing,339900,Yes Woman,09/07/2012,100000.00,0.00,100000.00,223334.00,123334.00,Small Business Express Program,CGS Sec. 32-7g,10,3,0,0,15,Met,n/a,n/a,10,3,0,0,,,Compliance Complete,9 Turnberry Lane,1,"9 Turnberry Lane
Sandy Hook, CT 06482
(41.406703, -73.259221)",9,1040,152,97
2015,"Koster Keunen Manufacturing, Inc.",1021 Echo Lake Road,Watertown,Litchfield,CT,06795,Manufacturing,325910,Yes International Export/Veteran,01/05/2015,100000.00,300000.00,400000.00,702000.00,302000.00,Small Business Express Program,CGS Sec. 32-7g,50,5,0,0,62,Met,n/a,n/a,50,5,0,0,,,Compliance Complete,1021 Echo Lake Road,1,"1021 Echo Lake Road
Watertown, CT 06795
(41.610203, -73.082024)",4,1042,269,153
2015,"Barn Yard Enterprises, Inc.",9 Village Street,Ellington,Tolland,CT,06029,Construction/Retail,444190,No,04/08/2015,100000.00,300000.00,400000.00,1228000.00,828000.00,Small Business Express Program,CGS Sec. 32-7g,35,8,0,0,50,Met,n/a,"$   50,000",35,42,0,0,,,Active,9 Village Street,1,"9 Village Street
Ellington, CT 06029
(41.875231, -72.477281)",1,38,142,48
